transactionID,distance,totalSale,waitTime,serviceTime
9830,14.2,29.74,20,30
9600,13.9,25.66,18,30
9203,13.6,27.08,20,30
3020,13.5,29.41,9,30
4020,12.6,31.75,11,30
2768,12.5,28.42,20,30
8235,12.4,25.11,20,28
8866,12.3,30.2,20,30
8826,12.2,31.92,9,30
8096,12,35.95,20,30
5993,11.9,25.08,20,30
9721,11.4,26.27,6,30
1608,11.3,27.84,6,30
8104,11.3,23.71,8,30
9290,11.3,30.91,20,30
5238,11,27.56,16,30
6165,10.9,33.11,9,20
9170,10.9,30.08,14,30
4606,10.8,27.97,20,30
5153,10.8,32.48,20,30
6589,10.8,31,20,30
8012,10.7,29.66,20,30
6665,10.5,30.14,20,30
4756,10.4,41.44,15,30
7878,10.4,29.38,13,25
8662,10.3,21.83,20,23
2824,10.2,31,20,30
2447,10.2,31.04,20,30
7962,9.9,37.67,2,30
1011,9.8,33.49,20,30
5321,9.7,30.92,20,30
2438,9.7,39.43,16,30
6764,9.7,21.67,20,30
2113,9.6,24.98,20,30
4628,9.6,29.02,20,25
9870,9.5,31.64,20,30
2362,9.4,25.84,5,30
8232,9.3,29.02,20,24
4938,9.3,26.91,20,30
5371,9.2,38.07,20,30
9062,9.2,31.14,20,30
5702,9.2,34.52,20,30
2337,9.2,26.01,15,30
6551,9.1,25.44,10,30
5482,9.1,28.33,20,30
4999,9.1,30.6,20,30
2267,9,45.86,20,30
9872,9,26.91,20,30
9640,9,32.29,20,30
3795,9,30.27,20,30
8185,8.9,31.17,20,30
5527,8.9,39.38,20,30
5116,8.8,29.49,20,30
7532,8.8,27.92,11,30
4916,8.8,29.97,12,30
5303,8.7,32.3,20,30
6590,8.6,36.43,8,30
7769,8.5,28.16,20,30
6154,8.5,27.17,20,27
6368,8.4,35.64,2,30
1821,8.4,30.23,20,30
2879,8.4,35.82,20,17
3721,8.4,25.23,20,30
3638,8.4,35.15,16,30
6618,8.4,30.66,20,30
2729,8.3,26.08,20,30
3778,8.2,20.16,20,30
7721,8.2,29.91,7,30
1646,8.2,44.24,20,30
8621,8.2,28.8,16,30
5613,8.1,33.04,16,30
6992,8.1,31.29,15,30
5283,8,26.94,19,27
5881,8,36.45,6,30
8977,8,23.96,20,30
9007,8,30.54,20,30
9942,8,31.35,20,30
6402,7.9,36.45,20,30
8142,7.9,27.52,20,30
4740,7.9,30.63,20,30
9117,7.9,26.19,20,30
6034,7.9,32.47,20,28
5449,7.9,39.58,9,30
9218,7.9,29.18,20,30
3435,7.8,30.97,13,30
9283,7.8,33.86,15,30
1619,7.8,27.9,20,30
1615,7.8,36.34,16,30
1542,7.7,22.69,20,30
9460,7.7,36.98,20,30
6635,7.7,34.04,5,14
1049,7.7,32.36,20,28
5405,7.7,25.5,12,30
3706,7.6,33.08,20,27
9992,7.6,27.88,20,30
7378,7.5,30.5,20,29
4242,7.5,26.64,20,30
6461,7.5,32.24,12,30
6671,7.5,24.64,9,30
9695,7.4,23.22,18,30
7011,7.4,38.6,20,30
6631,7.4,36.2,20,30
6464,7.4,27.32,7,30
8470,7.4,31.71,18,30
5314,7.3,23.14,20,30
2250,7.3,30.21,20,30
2701,7.3,31.89,17,30
4960,7.2,18.8,20,30
4461,7.2,27.08,10,30
2083,7.2,26.37,20,30
8043,7.2,31.66,20,30
2654,7.2,36.41,20,30
9465,7.2,29.03,17,30
1047,7.2,36.88,20,30
3503,7.2,29.19,20,30
2855,7.2,30.37,11,30
4589,7.2,32.93,20,30
7003,7.2,39.96,20,30
3191,7.2,27.99,20,30
2295,7.1,33.98,16,30
2775,7.1,21.65,20,30
2222,7.1,30.69,18,30
1147,7.1,31.99,20,30
5567,7.1,38.16,5,26
2040,7.1,30.15,20,30
5627,7.1,36.94,20,30
1134,7.1,40.45,20,30
6375,7,27.7,20,30
6233,7,25.9,19,30
2525,6.9,30.11,20,30
4980,6.9,21.36,20,30
4786,6.9,28.99,20,30
7544,6.9,35.72,20,30
6262,6.9,33.53,19,30
5064,6.9,38.52,20,30
9767,6.9,29.11,20,30
1007,6.8,27.18,20,30
7361,6.8,26.73,20,30
2961,6.8,30.81,4,30
1864,6.8,40.12,20,30
4378,6.8,23.5,20,30
4856,6.8,38.63,20,30
8700,6.8,27.07,20,29
2358,6.8,25.59,13,30
3707,6.7,29.52,20,30
4433,6.7,36.09,19,30
7343,6.7,18.26,20,30
7103,6.6,29.31,20,30
3616,6.6,21.54,20,30
3621,6.6,29,20,30
4864,6.6,38.46,18,30
3609,6.5,23.77,18,30
2996,6.5,37.31,20,30
7866,6.5,36.58,19,30
2367,6.5,17.75,20,30
5806,6.5,34.45,20,30
9988,6.4,43.3,20,30
9427,6.4,33.35,20,30
5908,6.4,26.07,19,30
2108,6.4,29.49,15,30
3510,6.3,32.1,20,30
1135,6.2,34.57,2,30
3656,6.2,32.41,18,30
2472,6.2,34.04,20,30
9352,6.2,31.67,3,30
5412,6.2,30.57,14,30
5341,6.2,27.06,20,30
3912,6.2,23.19,20,30
6685,6.2,24.49,20,30
8330,6.1,34.53,19,30
5001,6.1,28.12,14,30
7309,6.1,34.92,20,30
2520,6.1,27.08,12,24
2259,6.1,38.72,20,30
1413,6.1,33.05,2,30
9341,6,22.9,18,30
3506,6,25.24,20,30
9666,6,30.21,19,30
3877,6,29.36,20,28
4694,6,46.5,20,30
7626,6,30.16,20,30
4986,5.9,36.63,20,30
3688,5.9,30.99,20,30
4717,5.9,28.81,20,30
5809,5.9,31.5,20,30
2743,5.9,33.15,20,30
6448,5.8,24.27,20,30
7389,5.8,30.35,20,30
5887,5.8,29.93,20,30
3553,5.8,27,20,30
5191,5.7,43.55,11,30
6066,5.7,32.79,20,30
7943,5.7,24.43,20,30
7472,5.7,29.75,14,30
7838,5.7,28.64,7,30
5800,5.7,25.76,16,30
4406,5.6,40.37,20,30
8085,5.6,35.29,20,29
5933,5.6,38.03,20,30
3592,5.6,34.98,20,30
9907,5.6,25.22,20,30
5776,5.5,25.43,20,30
9157,5.5,37.3,20,30
6323,5.5,28.79,20,30
8514,5.4,27.45,14,30
4882,5.4,32.87,14,30
6806,5.4,35.14,20,30
1205,5.4,28.57,16,30
4188,5.4,35.08,20,30
9323,5.4,38.92,20,30
8181,5.4,31.7,20,30
6441,5.3,26,19,30
6959,5.3,30.43,20,30
2047,5.3,31.47,16,30
8302,5.3,36.65,20,30
7549,5.3,30.17,14,30
9735,5.3,21.97,20,30
7077,5.3,41.28,20,30
5617,5.2,27.79,20,30
8877,5.2,37.42,19,26
6286,5.2,29.42,20,30
5212,5.2,33.74,6,30
2778,5.2,29.95,19,30
6358,5.2,29.25,20,30
9005,5.2,35.86,20,26
4917,5.1,37.13,18,30
2435,5.1,27.17,19,29
1211,5.1,25.73,18,30
4490,5.1,29.21,20,30
9705,5,35.92,20,30
8778,5,36.47,20,30
9985,5,28.75,20,30
7165,4.9,35.96,20,30
4230,4.9,26.15,11,30
4428,4.9,32.89,20,30
2730,4.8,31.2,20,29
8559,4.8,34.53,20,30
5670,4.8,40.66,16,30
6265,4.8,16.18,11,30
2194,4.7,37.61,20,30
2856,4.7,36.48,20,30
8017,4.7,31.87,19,30
7244,4.7,35.12,17,30
4006,4.7,43.1,20,30
4338,4.7,25.98,20,30
8377,4.7,34.56,20,30
2049,4.7,28.05,20,30
3649,4.7,28.47,19,30
2661,4.7,37.53,10,30
2153,4.7,37.19,17,30
6803,4.6,37.52,20,30
7588,4.6,24.94,20,30
3630,4.6,25.48,20,30
2038,4.6,31.11,17,30
4160,4.6,32.39,15,30
1579,4.6,27.51,20,30
6244,4.5,28.74,20,28
6477,4.5,32.17,20,30
4646,4.5,31.93,20,30
2458,4.5,27.5,20,30
2148,4.5,41.87,11,30
8652,4.4,19.54,20,30
3957,4.4,27.76,20,30
6254,4.4,32.82,20,30
9931,4.4,30.63,20,30
7572,4.4,28.62,20,30
1319,4.3,24.27,20,30
2442,4.3,35.46,20,28
2606,4.3,35.88,20,30
6058,4.3,33.86,20,30
2123,4.3,27.83,20,30
4520,4.3,27.58,10,30
7237,4.2,34.17,20,30
1535,4.2,37.46,11,30
6069,4.1,33.18,13,30
3758,4.1,31.74,16,22
5254,4.1,25.85,20,30
8533,4,29.09,20,30
8827,4,30.68,20,30
1708,4,29.27,8,30
3777,4,34.21,20,30
9680,4,31.66,13,30
7763,4,31.05,20,30
3892,3.8,24.98,20,30
2360,3.8,29.09,14,30
4778,3.8,35.19,20,30
6905,3.8,31.64,20,30
4698,3.7,33.02,20,30
6190,3.7,30.24,20,30
4966,3.7,24.41,20,30
7396,3.7,32.95,20,30
8117,3.6,23.81,2,30
4137,3.6,29.06,18,30
8745,3.6,26.72,20,30
7188,3.6,30.28,20,30
8976,3.6,25.94,20,30
7252,3.4,26.83,20,30
9543,3.3,31.5,20,30
2789,3.3,18.14,20,30
3401,3.3,23.33,13,30
