transactionID,age,gender,occupation,visitFrequency,averageSpendPerVisit,howHeardAboutCafe,socialMediaPlatform,customerSatisfactionRating,likelihoodToRecommend,referredOthers,numberOfReferralsMade,attendedSpecialEvents,responseToPromotions
3368,65,Non-binary,Professional,Daily,45.58,Newspaper,TikTok,3,10,No,2,No,Specialty Drinks
6272,43,Female,Retired,Monthly,41.88,Word of Mouth,Instagram,3,1,No,4,No,Discounts
2251,29,Male,Professional,Monthly,27.45,Social Media,Twitter,7,8,Yes,0,Yes,Loyalty Rewards
9825,27,Non-binary,Professional,Monthly,37.78,Social Media,Twitter,6,1,No,0,No,None
1355,63,Female,Student,Monthly,40.14,Word of Mouth,Facebook,9,10,Yes,2,No,None
8699,60,Female,Other,Weekly,17.23,Newspaper,Twitter,2,7,No,1,No,None
4953,40,Female,Student,Weekly,37.16,Social Media,Instagram,5,4,No,1,No,None
6402,44,Male,Other,First-time,30.71,Flyers,None,6,3,Yes,0,Yes,Loyalty Rewards
1931,51,Male,Student,Monthly,45.12,Word of Mouth,Twitter,9,10,No,0,Yes,None
6636,33,Female,Professional,Monthly,6.27,Newspaper,Instagram,10,9,No,3,No,None
5001,63,Male,Student,Monthly,35.55,Social Media,Twitter,7,6,Yes,3,No,Discounts
1258,42,Non-binary,Professional,Weekly,36.16,Word of Mouth,None,8,2,Yes,4,Yes,Specialty Drinks
6433,45,Female,Student,First-time,30.7,Flyers,None,1,9,No,3,No,Specialty Drinks
1480,32,Prefer not to say,Retired,Daily,42.52,Flyers,Twitter,1,4,Yes,2,No,Discounts
8325,55,Prefer not to say,Retired,Daily,18.27,Flyers,TikTok,9,8,No,3,Yes,None
9490,40,Non-binary,Other,Daily,13.58,Word of Mouth,Instagram,6,1,Yes,0,No,Discounts
3453,36,Non-binary,Other,Weekly,12.61,Word of Mouth,Instagram,5,7,Yes,2,No,Loyalty Rewards
8788,27,Female,Professional,Daily,5.74,Newspaper,None,5,7,No,3,Yes,None
6467,30,Female,Student,Weekly,10.16,Social Media,Twitter,7,7,No,2,No,None
7340,55,Non-binary,Other,Monthly,7.88,Social Media,Instagram,5,9,No,3,Yes,Discounts
3273,18,Non-binary,Retired,Monthly,41.25,Social Media,Twitter,10,2,Yes,0,Yes,Specialty Drinks
3551,28,Male,Professional,Weekly,10.98,Newspaper,Facebook,10,6,No,3,No,None
1726,62,Prefer not to say,Other,Weekly,9.06,Word of Mouth,None,10,2,No,4,No,Discounts
1944,43,Female,Student,First-time,45.17,Flyers,TikTok,5,5,Yes,0,No,None
1625,27,Male,Retired,First-time,38.02,Flyers,None,9,9,Yes,4,Yes,Loyalty Rewards
5357,62,Male,Student,Weekly,27.56,Social Media,Instagram,9,4,No,2,Yes,Loyalty Rewards
7533,32,Non-binary,Retired,Weekly,17.45,Social Media,Facebook,3,6,Yes,3,No,Discounts
2395,34,Female,Student,Weekly,9.86,Word of Mouth,Twitter,2,1,Yes,2,No,None
6122,64,Male,Student,Monthly,43.12,Flyers,Instagram,4,10,No,1,No,None
3817,25,Non-binary,Student,Daily,36.99,Social Media,Facebook,7,7,Yes,1,Yes,Specialty Drinks
1516,53,Non-binary,Professional,First-time,41.24,Flyers,Twitter,8,9,Yes,0,Yes,Discounts
9224,23,Male,Other,First-time,5.65,Flyers,TikTok,3,8,No,3,Yes,None
1944,27,Prefer not to say,Retired,Monthly,16.41,Word of Mouth,Twitter,1,6,Yes,2,No,None
1102,44,Non-binary,Professional,Weekly,23.11,Newspaper,Facebook,9,6,Yes,4,Yes,Loyalty Rewards
6347,37,Male,Professional,Weekly,19.92,Word of Mouth,Twitter,5,2,Yes,3,Yes,Loyalty Rewards
8145,42,Non-binary,Student,Daily,44.02,Newspaper,Twitter,1,1,No,1,Yes,None
2692,41,Male,Professional,First-time,12.87,Social Media,Twitter,3,8,Yes,3,Yes,None
5171,33,Non-binary,Professional,Monthly,21.48,Word of Mouth,TikTok,2,1,No,1,Yes,Loyalty Rewards
6896,61,Non-binary,Professional,Daily,6.25,Social Media,Twitter,4,2,No,3,No,Discounts
